State,# of Pros,# Active,# of HOF,Games Played,TDs,Player With Most Touchdowns,Most TDs,Most Games Played,Games,lat,long
AK,13,0,0,955,17,Steve Smith,12,Mark Schlereth,156,64.724809,-153.629618
AL,781,82,10,40471,2105,Terrell Owens,156,Philip Rivers,244,32.688053,-86.810585
AR,322,10,6,15649,1608,Don Hutson,105,Trey Junkin,281,34.755883,-92.640559
AZ,212,28,2,11595,493,Todd Heap,42,J.J. Jansen,226,34.255149,-111.62621
CA,2607,222,22,133190,7960,Marcus Allen,145,Jeff Feagles,352,36.531544,-119.586168
CO,192,20,1,8822,451,Christian McCaffrey,60,Calais Campbell,227,38.996664,-105.547822
CT,210,9,3,7746,402,Joe Horn,58,John Carney,302,41.580163,-72.756629
DC,204,8,3,10479,595,Brian Westbrook,73,Vernon Davis,198,38.912097,-77.014683
DE,41,6,0,1805,48,Tim Wilson,9,Duron Harmon,161,38.978849,-75.46014
FL,1705,218,19,90700,6495,Emmitt Smith,175,Phil Dawson,305,27.97762,-81.769611
GA,1041,162,11,57393,3772,Jim Brown,126,John Kasay,301,32.53951,-83.380775
HI,116,12,0,6100,106,Marcus Mariota,18,Dominic Raiola,219,19.647634,-155.533256
IA,341,25,1,16040,865,Darren Sproles,64,Reggie Roby,238,42.039943,-93.500069
ID,73,5,1,3860,194,Merril Hoge,34,Wayne Walker,200,43.764877,-114.964267
IL,1164,70,18,50785,2780,Bill Brown,76,Mike Kenn,251,40.265028,-89.191575
IN,450,23,4,19372,1047,Mark Clayton,85,Rod Woodson,238,39.904493,-86.250281
KS,262,12,5,12517,790,John Riggins,116,Kendall Gammon,234,38.500327,-98.380429
KY,266,21,4,12028,668,Shaun Alexander,112,Jim Marshall,282,37.696825,-84.924095
LA,965,90,12,51782,4197,Marshall Faulk,136,Peyton Manning,266,34.05513,-118.25703
MA,432,16,4,17693,823,Don McCauley,58,Joe Nash,218,42.358752,-71.531484
MD,295,49,0,15101,1046,Todd Gurley,79,Sean Landeta,284,39.038828,-76.346717
ME,27,1,0,1108,19,Thurlow Cooper,8,Al Harris,149,45.243327,-69.171071
MI,785,62,5,40747,2354,Antonio Gates,116,Earl Morrall,255,43.924812,-84.633107
MN,432,29,5,16613,929,Larry Fitzgerald,121,Larry Fitzgerald,263,46.63636,-94.579641
MO,431,31,5,20177,1162,Ezekiel Elliott,80,Pat Leahy,250,38.353141,-92.747022
MS,680,49,9,35359,2518,Jerry Rice,208,Jerry Rice,303,32.921921,-89.687118
MT,73,3,1,3174,50,Will Dissly,12,Tim Hauck,183,47.001265,-109.645406
NC,657,76,7,34264,1908,Jimmy Graham,85,Bruce Matthews,296,35.387362,-78.455056
ND,53,3,0,2240,89,Pete Retzlaff,47,Andy Heck,185,47.471495,-100.469096
NE,259,14,3,11508,584,Ahman Green,74,Sam Koch,256,41.499671,-99.810075
NH,25,2,0,1120,38,Greg Landry,22,Don Macek,162,43.644386,-71.586283
NJ,710,68,8,37403,2348,Franco Harris,100,Irving Fryar,255,39.66502,-74.738208
NM,45,3,2,2341,119,Tommy McDonald,85,Ronnie Lott,192,34.498624,-106.108278
NV,75,14,0,3785,301,Steven Jackson,78,Lawrence Guy,160,39.440688,-116.598569
NY,899,46,7,39294,1795,Rob Gronkowski,93,Ricky Proehl,244,40.68295,-73.9708
OH,1561,99,23,70579,3738,Cris Carter,131,Lou Groza,268,40.262259,-82.883453
OK,500,24,5,21097,1444,Steve Largent,101,Josh Brown,201,35.455622,-97.508021
OR,189,21,1,9666,432,Jerry Smith,60,Stan Brock,234,43.854178,-120.526709
PA,1506,82,34,68875,4891,Marvin Harrison,128,George Blanda,340,40.860198,-77.838617
RI,40,1,0,1583,83,Tom Mitchell,24,Al Del Greco,248,41.587536,-71.514739
SC,459,46,4,28954,1805,Stanley Morgan,73,Andy Lee,297,33.702857,-80.627523
SD,60,5,1,3010,204,Dallas Clark,53,Adam Vinatieri,365,44.470716,-100.229958
TN,470,47,5,22904,945,Jason Witten,74,Jason Witten,271,35.820245,-86.343764
TX,2628,219,36,135387,8803,LaDainian Tomlinson,162,Matt Stover,297,31.030974,-98.326329
UT,148,23,2,6911,307,Steve Young,43,Merlin Olsen,208,39.098999,-111.878816
VA,515,49,11,29962,2018,Thomas Jones,71,Bruce Smith,279,37.73086,-78.376655
VT,10,0,0,444,16,Jim Laird,13,Steve Wisniewski,206,44.211857,-72.681238
WA,327,20,5,16808,916,Corey Dillon,89,Jason Hanson,327,47.372269,-120.59234
WI,466,34,9,19963,1105,Melvin Gordon,69,Mike Webster,245,44.356004,-89.466198
WV,183,3,5,7214,584,Randy Moss,157,Randy Moss,218,38.720281,-80.649428
WY,41,3,0,2759,212,Jack Snow,45,Don Cockroft,188,43.001645,-107.55153
